,ITEMID,UOM,BRANDID,CLASSIFY_STATE,SUBSTATE,STARTDATE,ENDDATE,RRP,DEAL,BUNDLE_QTY,BUNDLE_PRICE,EXCEL_PATH,EMAIL_PATH,CLAIM_NUMBER,VEN_ID,VENDOR_NAME,CLAIM_NUMBER_NEW
0,74193,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-11-16,2023-01-03,18.0,0.6,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,1,1002411,JOVAL WINES PTY LTD,1
1,74193,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-11-16,2023-01-03,18.0,0.6,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,1,295272,LEEUWIN ESTATE,1
2,74193,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-11-16,2023-01-03,18.0,0.6,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,1,800147,FESQ & CO,1
3,74193,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-11-16,2023-01-03,18.0,0.6,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,1,700878,NELSON WINE CO,1
4,74216,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-10-12,2022-11-15,30.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,2,295272,LEEUWIN ESTATE,2
5,74216,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-10-12,2022-11-15,30.0,1.0,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,2,800147,FESQ & CO,2
6,89074,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-08-03,2022-09-06,30.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,3,1002411,JOVAL WINES PTY LTD,3
7,89074,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-08-03,2022-09-06,30.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,3,295272,LEEUWIN ESTATE,3
8,89074,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-08-03,2022-09-06,30.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,3,800147,FESQ & CO,3
9,89074,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2022-08-03,2022-09-06,30.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221001_221101_A/VC PC5 PAF 21102022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221001_221101_A/pc5 leeuwin.eml,3,700878,NELSON WINE CO,3
10,526760,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2023-06-28,2023-08-01,39.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221201_230401_A/VC PAF ASSH 10032023.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221201_230401_A/re pc 9 leeuwin.eml,4,1002411,JOVAL WINES PTY LTD,4
11,526760,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2023-06-28,2023-08-01,39.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221201_230401_A/VC PAF ASSH 10032023.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221201_230401_A/re pc 9 leeuwin.eml,4,295272,LEEUWIN ESTATE,4
12,526760,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2023-06-28,2023-08-01,39.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221201_230401_A/VC PAF ASSH 10032023.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221201_230401_A/re pc 9 leeuwin.eml,4,800147,FESQ & CO,4
13,526760,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2023-06-28,2023-08-01,39.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221201_230401_A/VC PAF ASSH 10032023.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221201_230401_A/re pc 9 leeuwin.eml,4,700878,NELSON WINE CO,4
14,3713543,1,VC,National,"ACT,NSW,NT,QLD,SA,VIC,TAS,WA",2023-04-12,2023-05-16,23.0,1.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_221201_230401_A/PC7 PAF VC 14122022.xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_221201_230401_A/paf pc 7 leeuwin estate.eml,5,295272,LEEUWIN ESTATE,5
