,ITEMID,UOM,BRANDID,CLASSIFY_STATE,SUBSTATE,STARTDATE,ENDDATE,RRP,DEAL,BUNDLE_QTY,BUNDLE_PRICE,EXCEL_PATH,EMAIL_PATH,CLAIM_NUMBER,VEN_ID,VEN_NAME,CLAIM_NUMBER_NEW
0,39444,1,1C,National,,2023-05-03,2023-05-07,58.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,1,12947,G.H.P.L.,1
1,39444,1,LL,STATE,ACT,2023-03-29,2023-05-23,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,2,12947,G.H.P.L.,2
2,39444,1,LL,STATE,NSW,2023-03-29,2023-05-23,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,2,12947,G.H.P.L.,2
3,39444,1,LL,STATE,QLD,2023-03-29,2023-05-23,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,2,12947,G.H.P.L.,2
4,39444,1,LL,STATE,SA,2023-03-29,2023-05-23,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,2,12947,G.H.P.L.,2
5,39444,1,LL,STATE,VIC,2023-03-29,2023-05-23,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,2,12947,G.H.P.L.,2
6,39444,1,LL,STATE,TAS,2023-03-29,2023-05-23,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,2,12947,G.H.P.L.,2
7,39444,1,LL,STATE,NT,2023-03-29,2023-05-23,61.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,2,12947,G.H.P.L.,2
8,39444,1,LL,STATE,WA,2023-03-29,2023-05-23,61.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,2,12947,G.H.P.L.,2
9,39444,1,LL,STATE,ACT,2023-06-21,2023-07-18,60.0,0.5,,,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Attachment/LL_230401_230501_A/LLFC PAF form wks 4043 Piper (1).xlsx,https://myprofectus.sharepoint.com/:f:/r/sites/Operations/Clients/Coles%20Group/General/PAF/LL/Email/LL_230401_230501_A/re external piper scan weeks 4043.eml,3,12947,G.H.P.L.,3
